;marca;preco
112;Pc Gamer Completo Fácil, Amd Ryzen 5 5600g, SSD 960GB, 3.9GHZ, Radeon Vega 7 8GB, Windows 10 Trial, DDR4, Fonte 500w, Monitor 19, Polegadas Kit Gamer;R$ 3.195,15
113;Memória Notebook Kingston 16GB DDR4 2666mhz - Kvr26s19s8/16;R$ 420,12
114;Notebook Lenovo IdeaPad 3i Intel Core i7 12GB;R$ 3.599,10
115;Notebook LG Gram Intel Core i7-1165G7, 16GB RAM, 256GB SSD M.2 NVMe, 16' IPS, Intel Iris Xe, Windows 10 Home, Preto - 16Z90P-G.BH71P2;R$ 7.099,99
116;Notebook Acer Aspire 5 AMD Ryzen R7 5700U, 8GB RAM, SSD 256GB, 15.6 Full HD, Linux, Prata - A515-45-R4ZF;R$ 3.799,99
117;Notebook Asus VivoBook 15 Intel Core i7-1165G7, 8GB RAM, SSD 256GB, 15.6 Full HD, Iris Xe, Preto - X513EA-EJ3010;R$ 4.499,99
118;"Notebook Asus Intel Core I3, 4GB, 256GB SSD, Tela 15.6"", Windons 11 - X515ja-br2750w";R$ 2.511,00
119;Notebook Asus M515DA AMD Ryzen 5 3500U, 8GB RAM, SSD 256GB, 15.6 LED,  Windows 11, Cinza - M515DA-BR1213W;R$ 2.930,31
120;Trava De Segurança HP, Para Notebook, Com Segredo, 1.50M - Y0Q96LA;R$ 99,00
121;Fonte 19.5v 3.34a 65w 4.5 Mm X 3.0 Mm Para Dell La65ns2-01;R$ 68,30
122;Notebook Gamer Acer Nitro 5, AMD Ryzen 7, 8GB RAM, SSD 512GB, 15.6  Full HD, GTX 1650, Windows 11 Home - AN515-45-R1FQ;R$ 4.649,07
123;Notebook Gamer Predator Helios 300 PH315-53-75XA, Core i7, 16GB, 1TB, 256SSD, RTX 2070 144Hz, 15.6, Win 10;R$ 7.479,00
124;Notebook Lenovo Ideapad 3I, I5-1135G7, 8GB RAM, SSD 256GB, Tela 15.6 Full HD, Intel Iris XE, Linux - 82MDS00500;R$ 3.099,00
125;Notebook Lenovo Ideapad Gaming 3 R7-5800h AMD Ryzen 7 5800h, 16GB RAM, SSD 512GB, 15.6 Polegadas Full HD, Pcie Rtx 3060 6GB,Windows 11 Home - 82mj0003br;R$ 7.499,00
126;"Notebook Asus Vivobook, Intel Core I5, 8GB, 256GB SSD, Tela de 15.6"", Cinza Escuro - X543ua-dm3457t, 8250u";R$ 3.499,00
127;Fonte FY Para Notebook USB-C, 45W, 2.25A, Preto, Bivolt - BB20-BC45;R$ 122,30
128;Fonte De Alimentação Intelbras Ef 1203 12.8vdc 3a;R$ 88,06
129;Notebook Vaio Fe15 FHD I5-10210u, 8GB RAM, SSD 512GB, 15.6 LED Full HD, Win 11 Home, Chumbo Escuro - Vjfe52f11x-b2291h;R$ 3.449,00
130;Macbook Apple Air, Processador M1, 8GB, SSD 256GB, Tela 13.3 Polegadas, Retina IPS, MacOS, Cinza-Espacial - MGN63BZ/A;R$ 6.999,00
131;Notebook Asus Intel Core i5 8GB 512GB SSD 15,6”;R$ 2.790,00
132;Notebook Samsung Galaxy Book2 Intel Core i5-1235U, 8GB RAM, SSD 512GB, 15.6 Full HD, Iris Xe Graphic, Windows 11, Grafite - NP550XED-KF3BR;R$ 5.599,99
133;Notebook 2 em 1 Positivo Celeron Dual Core N4020, 4GB RAM, EMMC 128GB, 11.6 Full HD, IPS, Touchscreen, Windows 11 Pro Entry, Cinza - C4128B;R$ 1.399,99
134;Notebook Samsung Book, Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, GeForce MX450, Windows 11, Branco Puro - NP550XDA-XH1BR;R$ 5.499,99
135;Notebook Compaq Presario 435, Intel Core I3, Linux, 4GB, 240GB, SSD 14'' - Cinza;R$ 1.859,00
136;Capa Para Notebook  Com Ziper 15.6'' Em Neoprene - Preto;R$ 49,40
137;Fonte Exbom Flex Universal Regulável, Ac 3V, 4.5V, 6V, 7.5V, 9V, 12V, 3a, 3a, Com6 Plugues, 30W - FX-FU4;R$ 46,70
138;Notebook Gamer Predator Helios 300 Intel Core i7-11800H, GeForce RTX 3070, 16GB RAM, SSD 512GB, 15.6' Full HD IPS 144Hz, Win11 - PH315-54-70LH;R$ 9.999,99
139;Notebook Acer Aspire 3 Intel Core i3 8GB 512GB SSD;R$ 2.699,10
140;Case Para Notebook Até 15.6 Polegadas, Lenovo Urban Sleeve - Gx40z50942;R$ 149,00
141;Notebook Asus Vivobook 15 X1500ea-ej3669w, Intel Core I5 1135g7 2.4 Ghz, 8GB RAM, SSD 256GB W11 Home, Intel Iris Xe, Tela 15.60? FHD, Prata Metálico;R$ 2.790,00
142;Notebook Vaio, Fe15 I3-1005g1, 8GB RAM, SSD 512GB, Tela 15 Led HD, Win10 - Vjfe53f11x-b2211h;R$ 2.999,00
143;Carregador Fy P/ Lenovo 65W, Ac Adapter (Br) Ideapad 310/320/330/330s/s145/c340 E Yoga 510/520;R$ 105,90
144;Fonte Universal Altomex, 120W, Para Notebook, 9 Pinos, Bivolt;R$ 45,90
145;"Notebook Lenovo Ultrafino Ideapad 3 R5-5500u, 8GB, 256GB SSD, Linux 15.6"", Cinza - 82mfs00100";R$ 3.050,01
146;Notebook Lenovo V14, I7-1165G7, 8GB RAM, SSD 512GB, 14 Full HD, NVIDIA GeForce MX350, Windows 11 Pro, Preto - 82NM000RBR;R$ 5.799,00
147;Notebook Vaio FE15 Intel Core i5-10210U, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Cinza Grafite - VJFE54F11X-B0111H;R$ 3.399,99
148;Notebook Asus Vivobook 15 Intel Core i3-1115G4, 4GB RAM, SSD 256GB, 15.6 Full HD, Windows 11 Home, Prata Metálico - X1500EA-EJ3665W;R$ 2.499,99
149;"Chromebook Samsung Intel Celeron N4020, 4GB RAM, 32GB e.MMC, 11,6"" HD Antirreflexo, Intel UHD, Google Chrome - XE310XBA-KT3BR";R$ 1.399,99
150;Notebook Asus VivoBook Intel Core i7-1165G7, 16GB RAM, SSD 1TB, 15,6', GeForce MX350, Windows 11 Home, Preto - K513EQ-EJ682W;R$ 7.599,99
151;Notebook Gamer Lenovo Gaming 3i Intel Core i7-10750H, 8GB RAM, SSD 512GB, GeForce GTX 1650, 15.6 Full HD, Linux, Chameleon Blue - 82CGS00200;R$ 5.599,99
152;Notebook Acer Aspire 3 A315-58-31uy, Intel Core I3, 8GB, 256GB SSD, Tela 15.6, Windows 11 Home, Prata;R$ 2.975,07
153;Memória Notebook Kingston 4GB Ddr4 3200mhz - Kvr32s22s6/4;R$ 134,89
154;Macbook Air 2022 M2 8GB RAM 256GB SSD Apple M2 10-core Gpu Cinza Espacial;R$ 8.644,99
155;Notebook Lenovo Ultrafino Ideapad 1 R3-73200u, 8GB, 256GB SSD, Windows 11, Tela 15.6 - 82x50000br Cinza;R$ 2.599,00
156;Notebook Lenovo Ideapad 3i AMD Ryzen 5 8GB;R$ 2.564,10
157;Notebook Lenovo V15 Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11 Pro, Preto - 82ME000EBR;R$ 3.799,99
158;Notebook Acer Aspire 5 A515-56-55ld, Intel Core I5, 11ª Gen, 8GB, 256GB SSD, Windows 11 Home 15.6 Polegadas, Fhd;R$ 3.499,00
159;Notebook Lenovo Ideapad 3i Core I3 10110u 4gb Ddr4 Ssd 256gb Win 11 Home Tela 15.6'' - 82bs000jbr;R$ 2.899,00
